winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
11,17,50,51,71
30,43,53,68,78
9,38,42,68,91
14,18,32,37,87
9,46,47,79,88
8,30,76,91,99
23,38,49,52,79
9,16,18,27,97
5,13,19,37,74
8,17,62,79,85
8,10,26,35,83
2,10,31,51,64
8,30,39,71,112
1,11,20,97,100
9,14,21,42,70
6,20,55,91,94
4,15,72,87,112
41,69,71,79,101
6,36,50,65,84
1,13,26,75,98
47,61,79,82,103
44,49,64,74,83
7,12,28,35,112
37,38,43,57,70
9,17,50,54,92
3,17,48,66,88
9,11,26,65,83
43,64,69,78,92
33,63,78,79,88
42,63,65,91,99
8,63,84,86,106
16,18,26,39,51
20,35,50,95,96
13,48,62,66,92
18,26,29,47,60
42,48,58,74,103
17,55,58,83,93
11,12,71,100,112
47,52,71,85,91
18,27,64,69,97
12,30,52,85,87
10,20,47,55,107
7,10,22,50,65
43,63,90,93,102
8,65,76,79,103
32,35,51,72,86
7,8,74,85,87
7,13,47,68,106
28,43,50,60,72
6,20,37,41,74
2,43,64,65,84
16,41,68,74,106
3,12,52,53,62
20,29,30,44,46
31,69,74,87,98
19,69,78,91,107
1,84,97,101,106
8,9,50,68,76
2,4,7,46,69
30,46,62,85,106
50,60,62,74,83
1,39,87,89,100
2,14,26,74,93
7,10,11,30,69
7,11,50,72,110
30,32,41,65,97
22,51,53,87,95
37,75,82,95,110
20,21,30,72,97
13,36,66,80,87
16,87,98,104,107
19,50,74,91,96
20,28,51,56,68
11,16,20,27,102
14,34,54,86,88
2,7,38,69,87
10,17,23,53,101
46,50,61,77,112
74,79,87,88,97
47,58,88,95,98
8,46,53,84,100
17,54,63,86,102
1,22,65,86,87
10,20,23,41,56
37,54,76,86,97
20,47,65,86,94
7,15,87,93,99
35,84,85,95,96
6,26,41,76,87
2,12,17,61,87
8,36,57,93,101
5,16,54,57,95
7,21,30,65,94
10,27,41,49,62
